ph,salinity,moisture,tds,light,temperature,humidity,timestamp
419,870,34,1022,85,31.2,48,2023-09-27 3:35:00.100
420,869,35,1018,85,31.3,48,2023-09-27 3:35:04.100
421,870,33,1020,85,31.4,48,2023-09-27 3:35:08.100
424,865,40,1018,85,31.3,48,2023-09-27 3:35:12.100
421,866,37,1018,85,31.3,48,2023-09-27 3:35:16.100
423,866,35,1021,85,31.3,48,2023-09-27 3:35:20.100
420,870,34,1022,85,31.4,48,2023-09-27 3:35:24.100
422,865,39,1017,85,31.3,48,2023-09-27 3:35:28.100
422,867,37,1017,85,31.4,48,2023-09-27 3:35:32.100
423,866,34,1019,85,31.3,48,2023-09-27 3:35:36.100
423,866,39,1015,85,31.4,48,2023-09-27 3:35:40.100
422,867,36,1017,85,31.4,48,2023-09-27 3:35:44.100
422,865,38,1018,85,31.3,48,2023-09-27 3:35:48.100
422,866,38,1018,85,31.4,48,2023-09-27 3:35:52.100
421,867,34,1019,85,31.4,48,2023-09-27 3:35:56.100
422,865,40,1018,85,31.3,48,2023-09-27 3:36:00.100
423,865,37,1018,85,31.3,48,2023-09-27 3:36:04.100
423,864,39,1017,85,31.4,48,2023-09-27 3:36:08.100
423,866,35,1017,85,31.4,48,2023-09-27 3:36:12.100
420,868,33,1020,85,31.4,48,2023-09-27 3:36:16.100
422,869,36,1018,85,31.3,48,2023-09-27 3:36:20.100
423,866,38,1018,85,31.3,48,2023-09-27 3:36:24.100
424,864,38,1018,85,31.4,48,2023-09-27 3:36:28.100
423,866,39,1017,85,31.4,48,2023-09-27 3:36:32.100
420,869,37,1019,85,31.4,48,2023-09-27 3:36:36.100
423,866,38,1019,85,31.4,48,2023-09-27 3:36:40.100
421,868,36,1020,85,31.4,48,2023-09-27 3:36:44.100
423,865,39,1017,85,31.3,48,2023-09-27 3:36:48.100
423,867,38,1021,85,31.3,48,2023-09-27 3:36:52.100
419,867,36,1018,85,31.4,48,2023-09-27 3:36:56.100
421,869,38,1021,85,31.3,48,2023-09-27 3:37:00.100
424,866,37,1018,85,31.4,48,2023-09-27 3:37:04.100
420,869,36,1018,85,31.4,48,2023-09-27 3:37:08.100
422,867,40,1019,85,31.4,48,2023-09-27 3:37:12.100
420,867,37,1018,85,31.3,48,2023-09-27 3:37:16.100
423,867,37,1018,85,31.4,48,2023-09-27 3:37:20.100
